,RESELLER,GENDER,BRAND,Price_Original,LM_Ratings,LM_Positive
123,Vision Express,Man,FOSSIL,399.0,0,0.0
124,Vision Express,Man,POLAROID,279.0,0,0.0
125,Vision Express,Man,SEEN,99.0,0,0.0
126,Vision Express,Man,SOLARIS,249.0,0,0.0
127,Vision Express,Man,POLAROID,279.0,0,0.0
128,Vision Express,Man,RAY BAN,499.0,0,0.0
129,Vision Express,Man,POLAROID,279.0,0,0.0
130,Vision Express,Man,D BY D,99.0,0,0.0
131,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
132,Vision Express,Man,POLAROID,279.0,0,0.0
133,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
134,Vision Express,Man,D BY D,99.0,0,0.0
135,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
136,Vision Express,Man,POLAROID,279.0,0,0.0
137,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
138,Vision Express,Man,D BY D,99.0,0,0.0
139,Vision Express,Man,Julius,399.0,0,0.0
140,Vision Express,Man,EMPORIO ARMANI,649.0,0,0.0
141,Vision Express,Man,PUMA,399.0,0,0.0
142,Vision Express,Man,HERITAGE,499.0,0,0.0
143,Vision Express,Man,UNOFFICIAL,149.0,0,0.0
144,Vision Express,Man,SEEN,59.0,0,0.0
145,Vision Express,Man,LEVIS,399.0,0,0.0
146,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
147,Vision Express,Man,POLAROID,279.0,0,0.0
148,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
149,Vision Express,Man,Julius,449.0,0,0.0
150,Vision Express,Man,REVO,849.0,0,0.0
151,Vision Express,Man,HUGO BOSS,799.0,0,0.0
152,Vision Express,Man,RAY BAN,599.0,0,0.0
153,Vision Express,Man,D BY D,199.0,0,0.0
154,Vision Express,Man,LEVIS,399.0,0,0.0
155,Vision Express,Man,TOMMY HILFIGER,449.0,0,0.0
156,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
157,Vision Express,Man,HUGO BOSS,699.0,0,0.0
158,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
159,Vision Express,Man,HUGO BOSS,799.0,0,0.0
160,Vision Express,Man,CARRERA,599.0,0,0.0
161,Vision Express,Man,D BY D,199.0,0,0.0
162,Vision Express,Man,HUGO,499.0,0,0.0
163,Vision Express,Man,REVO,799.0,0,0.0
164,Vision Express,Man,REVO,799.0,0,0.0
165,Vision Express,Man,HUGO,499.0,0,0.0
166,Vision Express,Man,HERITAGE,499.0,0,0.0
167,Vision Express,Man,HUGO,599.0,0,0.0
168,Vision Express,Man,UNOFFICIAL,149.0,0,0.0
169,Vision Express,Man,HUGO,499.0,0,0.0
170,Vision Express,Man,HUGO BOSS,799.0,0,0.0
171,Vision Express,Man,UNOFFICIAL,249.0,0,0.0
172,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
173,Vision Express,Man,HUGO,599.0,0,0.0
174,Vision Express,Man,RAY BAN,749.0,0,0.0
175,Vision Express,Man,HUGO BOSS,999.0,0,0.0
176,Vision Express,Man,HUGO BOSS,799.0,0,0.0
177,Vision Express,Man,FOSSIL,399.0,0,0.0
178,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
179,Vision Express,Man,HAWKERS,229.0,0,0.0
